代號,校名,系名,標準,考取級分
實踐大學,財務金融學系（臺北校區）,總級分(52),1,51
實踐大學,資訊科技與管理學系（臺北校區）,09商管群/總級分(50),1,51
致理科技大學,財務金融系,總級分(45),4,52
國立屏東科技大學,企業管理系,總級分(52),3,52
國立臺北護理健康大學,健康事業管理系,總級分(49),3,52
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",3,52
國立屏東科技大學,資訊管理系,總級分(47),2,52
國立屏東科技大學,工業管理系,總級分(46),2,52
國立屏東科技大學,財務金融國際學士學位學程,總級分(51),2,52
國立高雄科技大學,海事資訊科技系,總級分(50),2,52
國立虎尾科技大學,工業管理系,總級分(54),2,52
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",2,52
朝陽科技大學,財務金融系,總級分(45),2,52
國立屏東大學,財務金融學系,總級分(53),2,52
國立屏東大學,行銷與流通管理學系,總級分(49),2,52
國立屏東大學,商業自動化與管理學系,總級分(46),2,52
逢甲大學,會計學系,"超篩總級分(52),國文(11),英文+總級分(64)",2,52
國立屏東科技大學,休閒運動健康系,09商管群/總級分(46),1,52
國立高雄科技大學,運籌管理系,總級分(57),1,52
國立高雄科技大學,財務管理系,總級分(64),1,52
國立高雄科技大學,航運管理系,總級分(55),1,52
國立高雄科技大學,供應鏈管理系,總級分(56),1,52
國立高雄科技大學,應用日語系,總級分(54),1,52
國立高雄科技大學,漁業生產與管理系,總級分(47),1,52
國立高雄科技大學,高瞻科技不分系學士學位學程,"總級分(51),英文+數學(19),專二(10)",1,52
國立虎尾科技大學,休閒遊憩系,(111學年度商管群新增),1,52
國立虎尾科技大學,企業管理系,總級分(55),1,52
國立澎湖科技大學,行銷與物流管理系,總級分(37),1,52
國立勤益科技大學,流通管理系,09商管群/總級分(55),1,52
國立勤益科技大學,文化創意事業系,總級分(52),1,52
國立臺北護理健康大學,高齡健康照護系,總級分(53),1,52
國立高雄餐旅大學,餐旅暨會展行銷管理系,超篩總級分(52),1,52
國立臺中科技大學,財政稅務系,總級分(61),1,52
國立臺中科技大學,會計資訊系,"超篩總級分(57),專二(12),專一(13)",1,52
國立臺中科技大學,資訊工程系(資管類),"數學(8),專一(11)",1,52
國立臺中科技大學,流通管理系,總級分(58),1,52
國立臺中科技大學,休閒事業經營系,總級分(54),1,52
國立臺中科技大學,應用中文系,總級分(53),1,52
國立臺中科技大學,老人服務事業管理系,總級分(26),1,52
朝陽科技大學,休閒事業管理系,總級分(41),1,52
國立聯合大學,經營管理學系,總級分(52),1,52
國立屏東大學,休閒事業經營學系,總級分(46),1,52
國立屏東大學,應用日語學系,總級分(39),1,52
逢甲大學,財稅學系,總級分(57),1,52
銘傳大學,企業管理學系（台北校區）,總級分(52),1,52
國立臺中科技大學,休閒事業經營系,總級分(54),5,53
國立臺北護理健康大學,健康事業管理系,總級分(49),4,53
國立勤益科技大學,流通管理系,09商管群/總級分(55),3,53
國立虎尾科技大學,工業管理系,總級分(54),2,53
國立虎尾科技大學,企業管理系,總級分(55),2,53
國立勤益科技大學,文化創意事業系,總級分(52),2,53
國立臺中科技大學,老人服務事業管理系,總級分(26),2,53
中原大學,資訊管理學系(資管類),總級分(56),2,53
實踐大學,企業管理學系（臺北校區）,總級分(51),2,53
國立高雄科技大學,供應鏈管理系,總級分(56),1,53
國立高雄科技大學,海洋休閒管理系,總級分(53),1,53
國立高雄科技大學,應用英語系,(111學年度商管群新增),1,53
國立高雄科技大學,應用日語系,總級分(54),1,53
國立高雄科技大學,應用德語系,總級分(53),1,53
國立高雄科技大學,文化創意產業系,總級分(55),1,53
國立高雄科技大學,人力資源發展系,總級分(56),1,53
國立高雄科技大學,航運技術系,總級分(52),1,53
國立高雄科技大學,海事資訊科技系,總級分(50),1,53
國立虎尾科技大學,應用外語系,總級分(54),1,53
國立勤益科技大學,資訊工程系,"超篩總級分(51),專一(13),國文+英文+數學(29)",1,53
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",1,53
國立勤益科技大學,企業管理系,"超篩總級分(60),國文+英文+數學+專二(40),專一(12)",1,53
國立勤益科技大學,休閒產業管理系,總級分(54),1,53
國立臺北護理健康大學,資訊管理系,總級分(56),1,53
國立臺中科技大學,資訊工程系(資管類),"數學(8),專一(11)",1,53
國立臺中科技大學,企業管理系,總級分(58),1,53
國立臺中科技大學,應用英語系,"超篩總級分(57),專二(9)",1,53
國立臺北商業大學,數位多媒體設計系（桃園校區）,總級分(58),1,53
朝陽科技大學,行銷與流通管理系,總級分(45),1,53
龍華科技大學,文化創意與數位媒體設計系,總級分(32),1,53
中國科技大學,數位多媒體設計系（臺北校區）,(111學年度商管群新增),1,53
德明財經科技大學,多媒體設計系,總級分(33),1,53
致理科技大學,行銷與流通管理系,總級分(41),1,53
致理科技大學,國際貿易系,總級分(38),1,53
國立聯合大學,經營管理學系,總級分(52),1,53
國立體育大學,休閒產業經營學系,(111學年度商管群新增),1,53
國立屏東大學,財務金融學系,總級分(53),1,53
